CG_Content,IC
46.6667,77.5624
51.6667,75.9679
41.6667,73.8806
35,76.6552
55,75.3581
53.3333,75.1921
65,71.1497
78.3333,63.3655
68.3333,70.6123
66.6667,71.6162
60,73.1829
70,71.4345
70,65.9347
60,76.0376
50,74.113
60,72.4094
68.3333,72.3515
75,70.0731
68.3333,71.4538
71.6667,65.8936
55,74.5434
56.6667,73.1064
45,77.7371
56.6667,73.4258
56.6667,76.4982
75,68.1726
75,69.2133
80,59.2874
70,70.7114
70,68.5237
60,75.5742
63.3333,72.4471
43.3333,68.1622
55,77.6604
70,69.6396
80,69.3896
86.6667,62.2451
71.6667,72.267
65,67.4363
56.6667,74.0865
46.6667,75.7303
43.3333,75.5154
43.3333,75.4765
56.6667,73.0501
66.6667,72.7848
65,73.8212
68.3333,71.9493
80,59.6705
73.3333,63.3206
70,61.3102
73.3333,66.0894
80,66.6167
71.6667,72.6851
76.6667,67.3159
81.6667,66.9126
75,70.1037
75,69.2082
88.3333,59.4573
83.3333,65.1508
81.6667,59.8579
43.3333,74.8113
51.6667,76.5476
41.6667,75.9083
38.3333,71.6833
46.6667,74.6073
51.6667,75.0197
46.6667,73.2383
60,75.0287
56.6667,74.2988
61.6667,73.8917
46.6667,76.9486
51.6667,74.3939
68.3333,70.5874
61.6667,65.8342
63.3333,72.3622
73.3333,70.0644
66.6667,73.8668
70,72.0396
75,66.1526
63.3333,72.0423
60,72.8991
65,64.0306
60,68.6485
68.3333,74.0914
71.6667,68.2685
65,73.5358
73.3333,68.6738
75,66.4372
68.3333,74.0141
76.6667,65.8222
73.3333,65.5962
63.3333,73.7771
60,72.9608
71.6667,71.6025
76.6667,68.8486
75,67.6802
73.3333,68.8552
70,68.7636
81.6667,61.6687
76.6667,69.2272
60,75.2027
90,62.163
78.3333,66.108
81.6667,65.3185
36.6667,74.1984
45,79.4262
73.3333,67.9623
83.3333,67.0936
71.6667,71.5326
76.6667,61.6162
71.6667,71.0127
75,65.9715
73.3333,65.7037
81.6667,63.305
63.3333,70.0631
76.6667,70.3212
65,77.8973
75,67.8683
68.3333,72.0143
61.6667,75.4127
35,67.2604
48.3333,77.674
53.3333,73.6579
48.3333,74.7306
46.6667,74.8886
56.6667,76.65
41.6667,73.9752
41.6667,74.8576
55,75.5661
53.3333,71.297
75,68.4754
70,72.6719
61.6667,66.11
71.6667,66.6998
75,67.7195
90,60.6385
80,66.2077
61.6667,78.1524
66.6667,73.1353
81.6667,68.1899
51.6667,76.0317
33.3333,73.3901
35,75.952
55,76.906
66.6667,70.6712
71.6667,70.3466
63.3333,73.8351
80,67.9423
86.6667,63.2452
80,64.7387
46.6667,75.6071
60,73.3403
60,70.9245
53.3333,75.799
36.6667,76.5592
63.3333,73.7151
58.3333,74.0017
75,73.3747
75,71.4446
76.6667,67.8775
56.6667,76.4785
41.6667,74.2786
40,75.4503
46.6667,72.9278
50,74.0218
73.3333,69.928
61.6667,76.8167
78.3333,66.8124
71.6667,71.276
63.3333,70.955
58.3333,73.5944
56.6667,74.0272
58.3333,74.7406
73.3333,68.1108
60,70.3569
63.3333,73.9961
73.3333,70.0093
71.6667,71.0875
65,72.9851
70,72.7019
51.6667,71.0669
51.6667,77.8228
35,74.2894
33.3333,72.5962
48.3333,75.924
63.3333,67.2814
75,66.664
85,60.4519
73.3333,72.3603
63.3333,74.6733
50,74.3527
63.3333,76.1071
61.6667,73.2118
75,71.533
78.3333,65.7173
78.3333,63.9587
76.6667,62.7279
81.6667,64.7717
48.3333,77.0344
60,70.2218
70,71.5744
78.3333,64.7539
80,64.2751
70,71.5224
65,74.9376
65,74.9523
75,70.0654
71.6667,67.8406
73.3333,67.7964
73.3333,68.6155
53.3333,75.4423
30,73.4622
43.3333,72.3185
35,74.2373
43.3333,74.8359
43.3333,73.4394
51.6667,75.086
58.3333,75.4335
70,73.3644
66.6667,69.8055
63.3333,73.7874
46.6667,75.2553
58.3333,75.9353
60,75.0517
30,60.2929
45,75.9933
70,67.8559
70,73.5487
61.6667,73.6016
75,69.7359
53.3333,73.0352
63.3333,74.0926
83.3333,61.6618
66.6667,73.5334
55,77.9718
40,67.9831
61.6667,74.9786
73.3333,66.8095
68.3333,71.0261
71.6667,69.8726
35,74.9316
65,72.2735
41.6667,76.1824
48.3333,79.5636
53.3333,74.2805
58.3333,73.2389
70,64.9218
70,71.5297
66.6667,71.2117
65,72.2745
35,73.8908
46.6667,75.8765
63.3333,71.6121
83.3333,57.589
83.3333,49.1693
76.6667,55.4555
81.6667,57.7161
80,62.5984
73.3333,66.5809
71.6667,71.8274
80,66.2903
83.3333,60.3501
75,69.7762
56.6667,65.7386
70,73.6335
71.6667,64.3737
68.3333,69.5126
93.3333,54.3607
73.3333,68.761
83.3333,63.4726
60,74.2048
65,73.5563
73.3333,69.7839
71.6667,73.1704
73.3333,72.0098
71.6667,67.2852
75,68.8957
63.3333,73.5266
70,70.6388
65,71.0583
61.6667,72.6542
53.3333,78.2962
66.6667,71.8434
46.6667,77.9135
50,74.6544
68.3333,70.3823
45,74.974
55,72.9922
65,68.3101
58.3333,74.4321
73.3333,68.6715
73.3333,67.2343
70,69.3156
60,74.7091
63.3333,76.2403
66.6667,69.547
68.3333,73.7518
55,73.1436
68.3333,71.4412
68.3333,68.2933
46.6667,72.1871
60,76.5339
53.3333,76.2174
43.3333,76.9573
46.6667,74.3255
60,75.3172
75,64.1227
60,73.6771
66.6667,73.0671
88.3333,54.3225
46.6667,73.263
53.3333,78.4208
56.6667,75.5667
60,76.0835
65,76.1663
66.6667,71.6461
65,71.9857
85,63.7274
73.3333,68.8519
71.6667,72.7681
66.6667,70.9887
58.3333,75.0572
38.3333,71.4697
63.3333,75.7993
68.3333,72.3945
68.3333,71.2233
55,75.2525
65,69.7804
71.6667,70.6458
71.6667,67.1607
58.3333,72.8903
53.3333,71.7268
60,72.8194
61.6667,71.7761
58.3333,77.8706
56.6667,75.804
76.6667,67.8366
80,63.8562
80,65.0967
83.3333,60.7083
53.3333,74.383
55,73.6038
83.3333,69.1403
78.3333,68.5958
70,68.0154
81.6667,65.14
90,62.1068
70,72.4326
83.3333,60.6554
71.6667,70.2766
50,75.6261
41.6667,71.7322
56.6667,77.1185
56.6667,75.8958
55,73.9985
60,72.0922
58.3333,76.7207
60,71.9668
73.3333,73.922
61.6667,73.6968
51.6667,69.7439
36.6667,74.5934
50,74.5424
60,74.2391
65,64.6327
56.6667,73.9844
63.3333,72.1138
58.3333,74.5896
61.6667,74.3329
70,73.1275
51.6667,76.0822
68.3333,71.0893
76.6667,67.1985
76.6667,69.6895
71.6667,71.8572
81.6667,68.4248
80,66.7653
80,63.201
76.6667,67.292
68.3333,66.9626
41.6667,75.9804
43.3333,75.3107
38.3333,72.0048
26.6667,69.6391
43.3333,74.1673
40,73.2962
51.6667,76.255
66.6667,72.8101
65,73.4427
73.3333,71.611
51.6667,71.9863
58.3333,75.8113
35,71.6054
48.3333,75.4583
53.3333,76.5287
50,77.4449
48.3333,76.0213
51.6667,76.4339
65,74.1027
66.6667,70.5133
56.6667,76.1216
55,75.7909
63.3333,66.2315
56.6667,71.9687
65,68.7635
68.3333,70.6315
63.3333,72.9343
51.6667,74.766
60,71.7193
65,69.8879
43.3333,76.3411
51.6667,74.4249
56.6667,74.3309
48.3333,75.7345
65,75.0567
65,72.9117
71.6667,61.8237
55,73.1277
61.6667,74.8991
83.3333,60.2761
51.6667,76.5175
35,71.8316
38.3333,73.6513
50,73.0044
48.3333,75.5246
68.3333,69.0993
66.6667,65.9025
78.3333,68.5513
78.3333,61.99
71.6667,71.6473
31.6667,70.5098
25,66.8339
30,72.2166
36.6667,75.3076
51.6667,75.1212
53.3333,74.1604
66.6667,72.1142
71.6667,72.2195
61.6667,59.9904
73.3333,66.5108
61.6667,72.8952
51.6667,74.703
56.6667,70.6218
60,74.0862
65,71.5386
63.3333,67.473
68.3333,72.5238
65,74.0695
66.6667,72.5744
65,72.1481
58.3333,73.9564
70,72.1255
53.3333,74.7465
61.6667,69.3036
60,75.2227
73.3333,69.5877
70,67.1804
81.6667,64.27
65,73.0632
76.6667,66.0195
60,75.384
45,70.783
46.6667,74.6452
70,70.9672
58.3333,77.9456
58.3333,48.8897
56.6667,59.9675
70,71.7001
60,72.6095
65,76.4363
60,74.2253
46.6667,77.2429
55,76.0946
63.3333,73.1744
46.6667,71.2533
55,76.8749
60,72.9536
65,73.7696
70,71.0065
68.3333,70.3387
43.3333,74.7891
51.6667,71.8971
46.6667,77.4179
51.6667,76.271
66.6667,72.3152
68.3333,68.8805
63.3333,73.9257
56.6667,73.5932
58.3333,76.4694
60,73.325
33.3333,72.6742
50,77.1291
46.6667,76.3712
61.6667,77.2025
80,65.1508
88.3333,55.9392
93.3333,58.2974
68.3333,73.8766
41.6667,72.0332
51.6667,74.999
61.6667,76.3826
60,73.4439
61.6667,68.9519
58.3333,74.0394
63.3333,63.3062
55,79.3917
58.3333,74.143
81.6667,57.924
71.6667,68.5617
75,70.1367
60,73.8202
75,66.3297
53.3333,71.9428
58.3333,74.636
56.6667,75.6401
50,76.0293
36.6667,74.1817
68.3333,72.3421
71.6667,72.3991
76.6667,67.6279
41.6667,72.8856
55,77.8809
61.6667,70.8158
61.6667,69.7481
61.6667,71.5374
71.6667,68.6765
68.3333,72.9643
71.6667,72.461
70,68.165
85,63.7515
68.3333,70.3659
73.3333,70.0463
65,73.823
71.6667,67.3594
75,70.5014
71.6667,71.3399
68.3333,72.3647
78.3333,67.1747
