CG_Content,IC
58.3333,75.1741
56.6667,72.2094
58.3333,75.2083
58.3333,75.4905
63.3333,74.1636
35,70.7612
30,72.8696
46.6667,75.4522
40,76.2764
48.3333,76.3829
45,75.3166
45,76.963
55,75.6038
36.6667,71.6128
45,75.0712
43.3333,77.1293
58.3333,74.8037
28.3333,70.3468
41.6667,76.6978
38.3333,74.3206
61.6667,69.1276
48.3333,75.1807
56.6667,74.4176
55,74.0717
